Plantation year,Plot,canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,3_new,143,158,1.779,1.51,3.801,1.512,3.509,1.396,7.310,2.908,1.825,0.726,1.368,0.544,3.193,1.270,25.133
2017,5,99,405,4.988,2.52,11.455,1.488,10.573,1.374,22.028,2.862,5.498,0.714,4.123,0.536,9.622,1.250,76.969
2017,8,57,633,9.348,3.45,22.435,1.457,20.708,1.345,43.143,2.803,10.769,0.700,8.076,0.525,18.845,1.224,153.938
2017,2_new,172,121,1.686,1.47,3.588,1.428,3.312,1.318,6.900,2.746,1.722,0.685,1.292,0.514,3.014,1.199,25.133
2017,2_new,166,125,1.663,1.46,3.536,1.407,3.264,1.299,6.800,2.706,1.697,0.675,1.273,0.506,2.970,1.182,25.133
2010,2,204,474,9.026,3.39,21.609,1.404,19.945,1.296,41.553,2.699,10.372,0.674,7.778,0.505,18.151,1.179,153.938
2010,5,249,420,8.788,3.35,20.999,1.364,19.382,1.259,40.382,2.623,10.080,0.655,7.559,0.491,17.639,1.146,153.938
2017,2_new,159,120,1.528,1.40,3.231,1.286,2.983,1.187,6.214,2.472,1.551,0.617,1.163,0.463,2.714,1.080,25.133
2010,7,185,456,8.068,3.21,19.163,1.245,17.688,1.149,36.851,2.394,9.198,0.598,6.898,0.448,16.097,1.046,153.938
2017,1_new,150,120,1.431,1.35,3.012,1.199,2.780,1.106,5.793,2.305,1.446,0.575,1.084,0.431,2.530,1.007,25.133
2017,3_new,145,122,1.400,1.34,2.941,1.170,2.715,1.080,5.656,2.250,1.412,0.562,1.059,0.421,2.471,0.983,25.133
2017,3_new,130,135,1.379,1.33,2.894,1.152,2.671,1.063,5.566,2.215,1.389,0.553,1.042,0.415,2.431,0.967,25.133
